FixedOpponentsTournament
AIs
	LightRush(AStarPathFinding)
opponent AIs
	RandomAI
maps
	/Users/jonathan/Masters /AIG/microrts-master/maps/16x16/basesWorkers16x16.xml
	/Users/jonathan/Masters /AIG/microrts-master/maps/24x24/basesWorkers24x24H.xml
	/Users/jonathan/Masters /AIG/microrts-master/maps/16x16/TwoBasesBarracks16x16.xml
	/Users/jonathan/Masters /AIG/microrts-master/maps/NoWhereToRun9x8.xml
iterations	10
maxGameLength	2000
timeBudget	100
iterationsBudget	-1
fullObservability	true
timeoutCheck	true
runGC	false
iteration	map	ai1	ai2	time	winner	crashed	timedout
0	0	0	0	775	0	-1	-1
0	1	0	0	819	0	-1	-1
0	2	0	0	439	0	-1	-1
0	3	0	0	1037	0	-1	-1
1	0	0	0	729	0	-1	-1
1	1	0	0	919	0	-1	-1
1	2	0	0	365	0	-1	-1
1	3	0	0	1006	0	-1	-1
2	0	0	0	833	0	-1	-1
2	1	0	0	926	0	-1	-1
2	2	0	0	399	0	-1	-1
2	3	0	0	1055	0	-1	-1
3	0	0	0	766	0	-1	-1
3	1	0	0	936	0	-1	-1
3	2	0	0	382	0	-1	-1
3	3	0	0	1053	0	-1	-1
4	0	0	0	835	0	-1	-1
4	1	0	0	917	0	-1	-1
4	2	0	0	429	0	-1	-1
4	3	0	0	1061	0	-1	-1
5	0	0	0	775	0	-1	-1
5	1	0	0	858	0	-1	-1
5	2	0	0	487	0	-1	-1
5	3	0	0	998	0	-1	-1
6	0	0	0	837	0	-1	-1
6	1	0	0	871	0	-1	-1
6	2	0	0	347	0	-1	-1
6	3	0	0	1020	0	-1	-1
7	0	0	0	765	0	-1	-1
7	1	0	0	964	0	-1	-1
7	2	0	0	372	0	-1	-1
7	3	0	0	996	0	-1	-1
8	0	0	0	680	0	-1	-1
8	1	0	0	844	0	-1	-1
8	2	0	0	395	0	-1	-1
8	3	0	0	1014	0	-1	-1
9	0	0	0	773	0	-1	-1
9	1	0	0	805	0	-1	-1
9	2	0	0	392	0	-1	-1
9	3	0	0	1029	0	-1	-1
Wins:
40	
Ties:
0	
Average Game Length:
772.575	
AI crashes:
0	
opponent AI crashes:
0	
AI timeout:
0	
opponent AI timeout:
0	
